date,matches
2023-03-16,"{'DWAC', 'NVDA', 'BAC', 'ES', 'GME', 'S&P'}"
2023-03-17,"{'S&P', 'CAN', 'ON'}"
2023-03-18,"{'PTVE', 'S&P', 'ALL', 'ST', 'DD', 'NVDA', 'ZIM', 'UBS'}"
2023-03-20,"{'PACW', 'NVDA', 'AMD', 'S&P', 'DB', 'UBS', 'NOW'}"
2023-03-21,"{'NVDA', 'NKE', 'ALL', 'ES', 'ARE', 'DD', 'S&P', 'TXN', 'UBS', 'NOW'}"
2023-03-22,"{'NVDA', 'AMD', 'ES', 'COIN', 'TLRY', 'GME', 'DD', 'S&P', 'CALM', 'UBS', 'NOW'}"
2023-03-23,"{'NVDA', 'AMD', 'ES', 'DV', 'GME', 'TLRY', 'S&P', 'TSLA', 'COIN', 'NOW'}"
2023-03-24,"{'NVDA', 'BKNG', 'SNAP', 'DTE', 'ES', 'META', 'S&P', 'COF'}"
2023-03-25,"{'ETN', 'NVDA', 'SNAP', 'SOFI', 'SCHW', 'MSFT', 'ES', 'META', 'FLNG', 'CMA', 'S&P', 'LULU'}"
2023-03-27,"{'OUT', 'AVAV', 'MSFT', 'ATVI', 'TTWO', 'CCL', 'ON', 'BY', 'DD', 'LULU', 'S&P', 'TSLA', 'DB', 'WE'}"
2023-04-03,"{'NVDA', 'SCHW', 'RSI', 'GO', 'FDS', 'AMC', 'KC', 'WWE', 'MPW', 'BY', 'ME', 'DD', 'S&P', 'TSLA', 'COIN', 'WTI', 'UBS'}"
2023-06-09,"{'AC', 'SPCE', 'BMBL', 'RH', 'S&P', 'TSLA', 'AAP', 'AR', 'NFLX', 'ADBE', 'NVDA', 'GTLS', 'PTON', 'MCD', 'UPS', 'BMRN', 'DOCU', 'CVNA', 'ES', 'NIO', 'AAPL'}"
2023-06-18,"{'CVNA', 'NVDA', 'AMD', 'INTC', 'S&P', 'SPCE', 'PYPL', 'BABA', 'BUD', 'ENPH', 'OPEN', 'ADBE', 'CCL', 'TSLA', 'AAPL'}"
2023-06-19,"{'AMD', 'SPCE', 'AM', 'PYPL', 'BABA', 'BUD', 'S&P', 'TSLA', 'PLTR', 'UBS', 'DD', 'ADBE', 'NVDA', 'ENPH', 'BP', 'CCL', 'OPEN', 'INTC', 'AAPL', 'CD'}"
2023-06-20,"{'AMD', 'SPCE', 'AM', 'BABA', 'BUD', 'S&P', 'TSLA', 'PLTR', 'UBS', 'DD', 'ADBE', 'NVDA', 'ENPH', 'CCL', 'OPEN', 'INTC', 'TGT', 'AAPL', 'CD'}"
2023-06-21,"{'AMD', 'SPCE', 'PYPL', 'BABA', 'LOGI', 'RH', 'ASML', 'S&P', 'NVO', 'TSLA', 'COF', 'NEWR', 'GM', 'ALL', 'GO', 'NVDA', 'PTON', 'NEXT', 'GRND', 'TTWO', 'MMM', 'HD', 'CVS', 'FTCH', 'ME', 'DG', 'TGT', 'NKLA'}"
2023-06-23,"{'LOGI', 'META', 'S&P', 'TSLA', 'COF', 'ASTS', 'RBLX', 'FDX', 'DD', 'NVDA', 'GRND', 'ATVI', 'LYFT', 'JD', 'AMC', 'CCL', 'WTI', 'HAS', 'INTC'}"
2023-06-25,"{'TFIN', 'AMD', 'PDD', 'NDAQ', 'LOGI', 'META', 'COF', 'S&P', 'TSLA', 'AVTR', 'ASTS', 'FDX', 'KMX', 'NVDA', 'PM', 'GRND', 'ATVI', 'JD', 'CCL', 'WTI', 'CVNA', 'ENVX'}"
