Symbol,Dollar_Symbol,Name
$A,$A,Agilent Technologies Inc. Common Stock
AA,$AA,Alcoa Corporation Common Stock 
AAC,$AAC,Ares Acquisition Corporation Class A Ordinary Shares
AAIN,$AAIN,Arlington Asset Investment Corp 6.000% Senior Notes Due 2026
AAL,$AAL,American Airlines Group Inc. Common Stock
AAN,$AAN,Aarons Holdings Company Inc. Common Stock 
AAON,$AAON,AAON Inc. Common Stock
AAP,$AAP,Advance Auto Parts Inc.
AAPL,$AAPL,Apple Inc. Common Stock
AAT,$AAT,American Assets Trust Inc. Common Stock
AB,$AB,AllianceBernstein Holding L.P.  Units
ABBV,$ABBV,AbbVie Inc. Common Stock
ABC,$ABC,AmerisourceBergen Corporation Common Stock
ABCB,$ABCB,Ameris Bancorp Common Stock
ABCL,$ABCL,AbCellera Biologics Inc. Common Shares
ABCM,$ABCM,Abcam plc American Depositary Shares
ABEV,$ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share)
ABG,$ABG,Asbury Automotive Group Inc Common Stock
ABM,$ABM,ABM Industries Incorporated Common Stock
ABNB,$ABNB,Airbnb Inc. Class A Common Stock
ABOS,$ABOS,Acumen Pharmaceuticals Inc. Common Stock
ABR,$ABR,Arbor Realty Trust Common Stock
ABT,$ABT,Abbott Laboratories Common Stock
ABUS,$ABUS,Arbutus Biopharma Corporation Common Stock
AC,$AC,Associated Capital Group Inc. Common Stock
ACA,$ACA,Arcosa Inc. Common Stock 
ACAD,$ACAD,ACADIA Pharmaceuticals Inc. Common Stock
ACCD,$ACCD,Accolade Inc. Common Stock
ACCO,$ACCO,Acco Brands Corporation Common Stock
ACEL,$ACEL,Accel Entertainment Inc. 
ACGL,$ACGL,Arch Capital Group Ltd. Common Stock
ACGLN,$ACGLN,Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G
ACGLO,$ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F
ACHC,$ACHC,Acadia Healthcare Company Inc. Common Stock
ACHR,$ACHR,Archer Aviation Inc. Class A Common Stock
ACI,$ACI,Albertsons Companies Inc. Class A Common Stock
ACIW,$ACIW,ACI Worldwide Inc. Common Stock
ACLS,$ACLS,Axcelis Technologies Inc. Common Stock
ACLX,$ACLX,Arcellx Inc. Common Stock
ACM,$ACM,AECOM Common Stock
ACMR,$ACMR,ACM Research Inc. Class A Common Stock
ACN,$ACN,Accenture plc Class A Ordinary Shares (Ireland)
ACRE,$ACRE,Ares Commercial Real Estate Corporation Common Stock
ACRS,$ACRS,Aclaris Therapeutics Inc. Common Stock
ACT,$ACT,Enact Holdings Inc. Common Stock
ACVA,$ACVA,ACV Auctions Inc. Class A Common Stock
ADBE,$ADBE,Adobe Inc. Common Stock
ADC,$ADC,Agree Realty Corporation Common Stock
ADEA,$ADEA,Adeia Inc. Common Stock
ADI,$ADI,Analog Devices Inc. Common Stock
ADM,$ADM,Archer-Daniels-Midland Company Common Stock
ADMA,$ADMA,ADMA Biologics Inc Common Stock
ADNT,$ADNT,Adient plc Ordinary Shares 
ADP,$ADP,Automatic Data Processing Inc. Common Stock
ADPT,$ADPT,Adaptive Biotechnologies Corporation Common Stock
ADSE,$ADSE,ADS-TEC ENERGY PLC Ordinary Shares
ADSK,$ADSK,Autodesk Inc. Common Stock
ADT,$ADT,ADT Inc. Common Stock
ADTN,$ADTN,ADTRAN Holdings Inc. Common Stock
ADUS,$ADUS,Addus HomeCare Corporation Common Stock
ADV,$ADV,Advantage Solutions Inc. Class A Common Stock
AEE,$AEE,Ameren Corporation Common Stock
AEF,$AEF,abrdn Emerging Markets Equity Income Fund Inc. Common Stock
AEG,$AEG,AEGON N.V. Common Stock
AEHR,$AEHR,Aehr Test Systems Common Stock
AEIS,$AEIS,Advanced Energy Industries Inc. Common Stock
AEL,$AEL,American Equity Investment Life Holding Company Common Stock
AEM,$AEM,Agnico Eagle Mines Limited Common Stock
AEO,$AEO,American Eagle Outfitters Inc. Common Stock
AEP,$AEP,American Electric Power Company Inc. Common Stock
AEPPZ,$AEPPZ,American Electric Power Company Inc. Corporate Units
AER,$AER,AerCap Holdings N.V. Ordinary Shares
AES,$AES,The AES Corporation Common Stock
AESC,$AESC,The AES Corporation Corporate Units
AESI,$AESI,Atlas Energy Solutions Inc. Class A Common Stock
AFG,$AFG,American Financial Group Inc. Common Stock
AFGB,$AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059
AFGC,$AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059
AFGD,$AFGD,American Financial Group Inc. 5.625% Subordinated Debentures due 2060
AFGE,$AFGE,American Financial Group Inc. 4.500% Subordinated Debentures due 2060
AFL,$AFL,AFLAC Incorporated Common Stock
AFRM,$AFRM,Affirm Holdings Inc. Class A Common Stock
AFYA,$AFYA,Afya Limited Class A Common Shares
AG,$AG,First Majestic Silver Corp. Ordinary Shares (Canada)
AGCO,$AGCO,AGCO Corporation Common Stock
AGEN,$AGEN,Agenus Inc. Common Stock
AGI,$AGI,Alamos Gold Inc. Class A Common Shares
AGIO,$AGIO,Agios Pharmaceuticals Inc. Common Stock
AGL,$AGL,agilon health inc. Common Stock
AGM,$AGM,Federal Agricultural Mortgage Corporation Common Stock
AGNC,$AGNC,AGNC Investment Corp. Common Stock
AGNCL,$AGNCL,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock
AGNCM,$AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock
AGNCN,$AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock
AGNCO,$AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock
AGNCP,$AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock
AGO,$AGO,Assured Guaranty Ltd. Common Stock
AGR,$AGR,Avangrid Inc. Common Stock
AGRO,$AGRO,Adecoagro S.A. Common Shares
AGTI,$AGTI,Agiliti Inc. Common Stock
AGX,$AGX,Argan Inc. Common Stock
AGYS,$AGYS,Agilysys Inc. Common Stock (DE)
AHCO,$AHCO,AdaptHealth Corp. Common Stock
AHH,$AHH,Armada Hoffler Properties Inc. Common Stock
$AI,$AI,C3.ai Inc. Class A Common Stock
AIC,$AIC,Arlington Asset Investment Corp 6.750% Notes due 2025
AIG,$AIG,American International Group Inc. New Common Stock
AIN,$AIN,Albany International Corporation Common Stock
AIO,$AIO,Virtus Artificial Intelligence & Technology Opportunities Fund Common Shares of Beneficial Interest
AIR,$AIR,AAR Corp. Common Stock
AIRC,$AIRC,Apartment Income REIT Corp. Common Stock
AIRS,$AIRS,AirSculpt Technologies Inc. Common Stock
AIT,$AIT,Applied Industrial Technologies Inc. Common Stock
AIU,$AIU,Meta Data Limited ADS
AIV,$AIV,Apartment Investment and Management Company Common Stock
AIXI,$AIXI,XIAO-I Corporation American Depositary Shares
AIZ,$AIZ,Assurant Inc. Common Stock
AIZN,$AIZN,Assurant Inc. 5.25% Subordinated Notes due 2061
AJG,$AJG,Arthur J. Gallagher & Co. Common Stock
AJXA,$AJXA,Great Ajax Corp. 7.25% Convertible Senior Notes due 2024
AKAM,$AKAM,Akamai Technologies Inc. Common Stock
AKBA,$AKBA,Akebia Therapeutics Inc. Common Stock
AKR,$AKR,Acadia Realty Trust Common Stock
AKRO,$AKRO,Akero Therapeutics Inc. Common Stock
AL,$AL,Air Lease Corporation Class A Common Stock
ALB,$ALB,Albemarle Corporation Common Stock
ALC,$ALC,Alcon Inc. Ordinary Shares
ALDX,$ALDX,Aldeyra Therapeutics Inc. Common Stock
ALE,$ALE,Allete Inc.
ALEC,$ALEC,Alector Inc. Common Stock
ALEX,$ALEX,Alexander & Baldwin Inc. Common Stock REIT Holding Company
ALG,$ALG,Alamo Group Inc. Common Stock
ALGM,$ALGM,Allegro MicroSystems Inc. Common Stock
ALGN,$ALGN,Align Technology Inc. Common Stock
ALGT,$ALGT,Allegiant Travel Company Common Stock
ALHC,$ALHC,Alignment Healthcare Inc. Common Stock
ALIT,$ALIT,Alight Inc. Class A Common Stock
ALK,$ALK,Alaska Air Group Inc. Common Stock
ALKS,$ALKS,Alkermes plc Ordinary Shares
ALKT,$ALKT,Alkami Technology Inc. Common Stock
ALL,$ALL,Allstate Corporation (The) Common Stock
ALLE,$ALLE,Allegion plc Ordinary Shares
ALLG,$ALLG,Allego N.V. Ordinary Share
ALLK,$ALLK,Allakos Inc. Common Stock
ALLO,$ALLO,Allogene Therapeutics Inc. Common Stock
ALLY,$ALLY,Ally Financial Inc. Common Stock
ALNY,$ALNY,Alnylam Pharmaceuticals Inc. Common Stock
ALPN,$ALPN,Alpine Immune Sciences Inc. Common Stock
ALRM,$ALRM,Alarm.com Holdings Inc. Common Stock
ALRS,$ALRS,Alerus Financial Corporation Common Stock
ALSN,$ALSN,Allison Transmission Holdings Inc. Common Stock
ALTG,$ALTG,Alta Equipment Group Inc. Class A Common Stock
