Symbol,Dollar_Symbol,Name
AAPL,$AAPL,Apple Inc. Common Stock
AMC,$AMC,AMC Entertainment Holdings Inc. Class A Common Stock
AMD,$AMD,Advanced Micro Devices Inc. Common Stock
CVNA,$CVNA,Carvana Co. Class A Common Stock
DISH,$DISH,DISH Network Corporation Class A Common Stock
HOOD,$HOOD,Robinhood Markets Inc. Class A Common Stock
MSFT,$MSFT,Microsoft Corporation Common Stock
NVDA,$NVDA,NVIDIA Corporation Common Stock
PYPL,$PYPL,PayPal Holdings Inc. Common Stock
RIVN,$RIVN,Rivian Automotive Inc. Class A Common Stock
RTX,$RTX,RTX Corporation Common Stock
TSLA,$TSLA,Tesla Inc. Common Stock
UBS,$UBS,UBS Group AG Registered Ordinary Shares
